id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,sumseqs,percentseq,sumsamp,rank,Fire
Otu6,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,Sporosarcina,s__,67564,6.869785815,24,1,postfire
Otu2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__,Fictibacillus,s__,58110,5.908520125,24,2,postfire
Otu4,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Thermoactinomycetaceae,Thermoflavimicrobium,s__,42279,4.298852562,24,3,postfire
Otu9,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae,k__Bacteria,Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,Micromonospora,s__,26407,2.685016192,24,4,postfire
Otu13,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,Bacillus spp.,s__,18639,1.895179945,24,5,postfire
Otu1421,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__,k__Bacteria,Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,Micromonosporaceae,s__,11510,1.170316067,24,6,postfire
Otu17024,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,Bacillus muralis,s__muralis,11269,1.145811621,24,7,postfire
Otu2032,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,Solibacillus,s__,11104,1.129034718,24,8,postfire
Otu61,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__,k__Bacteria,Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,Pseudonocardia,s__,10568,1.074535204,24,9,postfire
Otu49,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__,k__Bacteria,Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,Cohnella,s__,10566,1.074331847,24,10,postfire
Otu5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__,k__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,Bradyrhizobium,s__,38057,2.264974051,24,1,prefire
Otu14,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,k__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,Rhodoplanes,s__,23847,1.419261534,24,2,prefire
Otu18,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__,k__Bacteria,Proteobacteria,c__Betaproteobacteria,o__MND1,f__,Betaproteobacteria spp.,s__,22307,1.327607961,24,3,prefire
Otu24,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,k__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,Sinobacteraceae,s__,19922,1.185663953,24,4,prefire
Otu15,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,Acidobacteria spp.,s__,19299,1.148585916,24,5,prefire
